Прізвище Ім'я По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Дейсун Ілля Дмитрович,Чоловіча,1948-12-23,Програміст,село Теплодар,"узвіз Виноградна 1-ша, буд. 910 кв. 180, Харків, 94775",+380 (66) 370-29-24,khrystynaieremenko@example.org
Ващук Одарка Станіславівна,Жіноча,1970-05-17,Директор,хутір Авдіївка,"парк Дукова, буд. 178, Гадяч, 20619",531 25 25,wieshchenko@example.com
Усик Марʼяна Михайлівна,Жіноча,1946-02-25,Програміст,селище Долинська,"шосе Юрія Яновського, буд. 8, Токмак, 19490",+380 07 659-78-43,davyd90@example.com
Вертипорох Герман Венедиктович,Чоловіча,2000-09-11,Менеджер,хутір Марганець ,"провулок Івана Франка, буд. 6, Географія Вільнянська, 80691",+380 36 236 71 16,amaliiachornovil@example.com
Гук Онисим Олегович,Чоловіча,1965-06-27,Програміст,селище Ходорів,"узвіз Казанська, буд. 85 кв. 314, Ходорів, 50921",048 913 34 22,satsiukomelian@example.net
Вівчаренко Аарон Августинович,Чоловіча,2002-01-06,Менеджер,хутір Подільськ,"площа Педагогічний, буд. 5 кв. 9, Гребінка, 30333",028 459-32-61,iermolenkohalyna@example.net
Олійник Альбіна Гордіївна,Жіноча,1957-04-27,Аналітик,хутір Галич,"проспект Чорноморський 13-й, буд. 357 кв. 44, Попасна, 71474",+380 20 096 48 32,iustynababych@example.org
Євтушенко Юхим Володимирович,Чоловіча,2003-09-16,Менеджер,селище Бахчисарай,"узвіз Ювілейний 2-й, буд. 9 кв. 135, Берислав, 87546",079 484 95 04,mykhailynanikoliuk@example.com
Іващенко Франц Симонович,Чоловіча,1991-09-27,Аналітик,село Красноперекопськ,"площа Кришталевий, буд. 9 кв. 37, Бережани, 01819",071 718-75-18,iaroslavaokhrimenko@example.com
Щербань Августин Олексович,Чоловіча,1974-02-14,Директор,хутір Мар'їнка,"провулок Флотська, буд. 03 кв. 4, Луцьк, 59805",034 559-38-34,levchenkoarsen@example.net
Бабій Макар Давидович,Чоловіча,1983-01-31,Програміст,село Харцизьк,"шосе Кострова, буд. 97 кв. 4, Бобринець, 62583",974-16-20,nadiiafomenko@example.net
Гавришкевич Дарина Устимівна,Жіноча,1990-08-07,Директор,хутір Дубно,"набережна Деревообробний 3-й, буд. 70, Донецьк, 53729",755-66-32,demyd80@example.com
Хоменко Борислав Несторович,Чоловіча,1970-09-06,Аналітик,хутір Харцизьк,"шосе Черепанових 2-й, буд. 45, Долинська, 83927",+380 (58) 823-10-82,mariana14@example.org
Ґерус Борислав Владиславович,Чоловіча,1945-12-31,Програміст,хутір Березне,"вулиця Миколи Плигуна, буд. 70, Новогродівка, 19773",045 245-31-82,nalyvaikostanislav@example.net
Макогон Олекса Іванович,Чоловіча,1983-09-17,Менеджер,селище Городище ,"узвіз Бугаївська, буд. 408 кв. 2, Заставна, 78028",005 699 02 37,volodymyrasliusar@example.net
Гунько Кирило Трохимович,Чоловіча,1969-11-12,Директор,місто Бобринець,"проспект Сегедська, буд. 288, Умань, 10539",+380 16 091 07 26,habelkoliliia@example.com
Шаповал Орина Демʼянівна,Жіноча,1963-10-15,Директор,село Армянськ,"набережна Восьмого березня 5-й, буд. 75 кв. 5, Зіньків, 64909",089 549-67-03,gerusodarka@example.net
Цісик Ганна Антонівна,Жіноча,1991-09-20,Аналітик,селище Теребовля,"парк 40-річчя оборони Одеси, буд. 4 кв. 86, Генічеськ, 18338",916 57 55,valerii15@example.net
Бабʼяк Амвросій Олексович,Чоловіча,2003-02-06,Аналітик,селище Львів,"вулиця Наявний 5-й, буд. 3, Добропілля, 96590",+380 (67) 498-25-08,tarasandriievych@example.org
Михайлюк Кирило Русланович,Чоловіча,1980-08-29,Аналітик,хутір Кам'янське,"узвіз Лазурний 3-й, буд. 5 кв. 526, Сорокине, 94394",713-76-86,heorhiigereta@example.net
Данченко Дан Святославович,Чоловіча,1955-10-09,Аналітик,селище Кролевець,"вулиця Лінія 45-та, буд. 3, Заліщики, 47370",096 338-33-37,anastasiiamalyk@example.org
Онуфрієнко Борислав Богуславович,Чоловіча,1978-10-19,Аналітик,хутір Снігурівка,"провулок Бузковий 1-й, буд. 1, Бучач, 75320",+380 01 301-33-06,andriiovychiukhym@example.org
Гриценко Аркадій Альбертович,Чоловіча,2007-02-16,Аналітик,село Ужгород,"провулок Садовського, буд. 617 кв. 2, Заводське, 05864",034 156 35 52,illiaiatseniuk@example.org
Бандера Лесь Романович,Чоловіча,1962-11-09,Директор,село Першотравенськ,"провулок Жоліо-Кюрі, буд. 99 кв. 4, Рогатин, 17171",924 26 98,lzabila@example.org
Андрійович Валентин Орестович,Чоловіча,1988-06-01,Програміст,місто Сколе,"набережна Західний 1-й, буд. 3, Вижниця, 12412",+380 87 869-63-84,ada96@example.com
Даниленко Надія Аврелійовна,Жіноча,1966-04-19,Менеджер,місто Перещепине,"площа Чорноморський 4-й, буд. 248, Жовті Води, 02488",+380 98 401 16 84,dmytro70@example.com
Юрчишин Святослава Болеславівна,Жіноча,1960-09-07,Аналітик,селище Гірник ,"провулок Композитора Глинки, буд. 7 кв. 8, Вишгород, 62028",+380 43 725 24 29,demianiefymenko@example.org
Артим Едита Германівна,Жіноча,1995-06-10,Директор,хутір Ланівці,"проспект Керченський 1-й, буд. 7 кв. 8, Чернівці, 82141",+380 87 153-08-49,demyddrozdenko@example.org
Ніколюк Оксенія Андріївна,Жіноча,1960-08-30,Директор,хутір Теплодар,"провулок Шампанський, буд. 798, Вилкове, 74444",+380 (12) 490-81-29,babakroksolana@example.org
Оліфіренко Амвросій Степанович,Чоловіча,1987-06-06,Програміст,хутір Кам'янка (Черкаська область),"парк Восьмого Березня Лінія 1-ша, буд. 069, Кропивницький, 40501",+380 31 551 68 00,kamillamatiash@example.com
Ярош Яків Прохорович,Чоловіча,1940-02-18,Директор,хутір Добропілля,"парк Сурикова 2-й, буд. 827, Селидове, 32961",+380 12 976-39-03,davydenkokostiantyn@example.net
Лупій Давид Соломонович,Чоловіча,1948-12-04,Директор,село Дружківка,"проспект Іспанська, буд. 394, Долинська, 63976",+380 (16) 740-11-26,artem15@example.org
Гаєвський Михайло Вʼячеславович,Чоловіча,1988-06-11,Директор,місто Дружківка,"узвіз Шептицікого, буд. 944 кв. 40, Липовець, 32397",+380 36 196-51-92,valenkorozaliia@example.com
Тимчук Станіслав Глібович,Чоловіча,1971-11-07,Аналітик,хутір Устилуг,"вулиця Першотравневий 3-й, буд. 5, Волноваха, 74511",+380 53 036-63-35,vdovenkoandrii@example.net
Захаренко Пармен Августинович,Чоловіча,1958-09-21,Програміст,селище Зеленодольськ,"шосе Профспілкова, буд. 885 кв. 055, Новоград-Волинський, 04524",894-66-87,fursmilena@example.org
Терещук Ростислав Єфремович,Чоловіча,1980-02-11,Директор,хутір Ніжин,"парк Лермонтовський, буд. 43, Приморськ (Україна), 06996",024-93-45,marko21@example.org
Рябець Василь Хомович,Чоловіча,2002-05-02,Аналітик,селище Коростишів,"площа Буніна, буд. 23, Чортків, 85581",+380 94 558-75-39,alevtynshelest@example.com
Колесниченко Любов Марківна,Жіноча,1994-06-29,Менеджер,село Кіцмань,"вулиця Некрасова, буд. 8 кв. 8, Очаків, 63757",+380 43 726 41 46,tetiana04@example.com
Гоголь-Яновський Ілля Адамович,Чоловіча,1953-08-25,Програміст,селище Рава-Руська,"набережна Псковська, буд. 3 кв. 977, Павлоград, 91155",+380 37 259 31 71,pylypievtushok@example.net
Скоробогатько Лариса Августинівна,Жіноча,1996-11-07,Програміст,місто Почаїв,"парк Хаджибейська дорога, буд. 64, Зоринськ, 27929",082 620 76 33,ilienkoopanas@example.com
Цушко Ганна Назарівна,Жіноча,1998-08-12,Менеджер,місто Ізмаїл,"набережна Воронцовський, буд. 2 кв. 18, Мар'їнка, 47521",143 11 82,onysym87@example.com
Ткач Ігнат Амвросійович,Чоловіча,1945-04-20,Аналітик,хутір Ямпіль,"площа Першотравневий 3-й, буд. 315, Вашківці, 57255",+380 68 898-41-96,tkachenkoostap@example.net
Дробаха Клавдія Варфоломіївна,Жіноча,1953-08-04,Програміст,місто Дубно,"площа Армійська, буд. 876, Мирноград, 29116",022 851 59 89,alevtyn23@example.net
Гузій Ігор Демидович,Чоловіча,1997-03-02,Аналітик,село Баштанка,"площа Бірюкова, буд. 820 кв. 01, Дніпро , 84835",992 92 97,tymofiidavydenko@example.com
Гаврилів Костянтин Єфремович,Чоловіча,1995-01-09,Менеджер,село Таврійськ,"шосе Чорноморський, буд. 6, Олевськ, 86306",084 163-12-36,boleslavriabchenko@example.org
Карпа Ірена Павлівна,Жіноча,1977-02-24,Програміст,селище Тлумач,"парк Ювілейний 1-й, буд. 666 кв. 376, Татарбунари, 56883",+380 79 502-52-00,vdashkevych@example.net
Безбородько Адам Георгійович,Чоловіча,1962-04-04,Менеджер,село Молодогвардійськ,"узвіз Сєрова, буд. 410, Коростишів, 43637",+380 76 852-43-73,balabanborys@example.net
Романенко Анжела Устимівна,Жіноча,1979-05-21,Аналітик,місто Хрустальний,"провулок Полтавська, буд. 94, Зеленодольськ, 05938",071 815-49-52,danylovasylevych@example.com
Вергун Олександр Тарасович,Чоловіча,1996-11-03,Менеджер,хутір Ізяслав,"узвіз 11-та ст. Великого Фонтану пляж, буд. 70 кв. 944, Одеса, 85451",+380 03 970 00 70,kmatiash@example.com
Байдак Василина Костянтинівна,Жіноча,1946-05-20,Аналітик,село Шостка,"шосе Олександра Матросова, буд. 7 кв. 08, Миргород, 34537",+380 04 832 20 18,viterbohuslav@example.com
Цісик Аврелій Леопольдович,Чоловіча,1981-08-14,Директор,місто Судова Вишня,"провулок Новиков міст, буд. 1, Лозова , 15713",+380 78 242 55 31,vasylynakozak@example.com
Євдокименко Мартин Максимович,Чоловіча,1965-12-03,Аналітик,селище Вилкове,"узвіз Цимлянська, буд. 3 кв. 5, Кам'янець-Подільський, 67277",745-97-00,adamshvachko@example.net
Гаєвська Данна Сергіївна,Жіноча,1998-11-04,Аналітик,селище Новомиргород,"сквер Кавунова, буд. 1, Кам'янець-Подільський, 46048",981 48 11,lesbabenko@example.org
Сіробаба Марʼяна Яремівна,Жіноча,1969-12-01,Менеджер,місто Тячів,"парк Лазурний 6-й, буд. 8, Угнів, 70088",360 39 84,rozaliiachalenko@example.org
Цісик Богуслава Назарівна,Жіноча,2007-02-11,Директор,місто Сторожинець,"парк Біляївська, буд. 4, Лисичанськ, 36301",162 09 30,halynaiefymenko@example.net
Бабʼяк Зорян Назарович,Чоловіча,1945-08-15,Аналітик,село Вільнянськ,"парк Селищна, буд. 98 кв. 398, Вовчанськ, 93267",029 959 24 69,gerusvolodymyra@example.net
Ємельяненко Артем Хомович,Чоловіча,1984-12-23,Програміст,місто Львів,"сквер Академіка Глушка, буд. 534 кв. 5, Костопіль, 98679",012-87-88,rozaliia28@example.org
Колісниченко Альберт Данилович,Чоловіча,1981-04-22,Директор,хутір Щастя ,"набережна Лесі Українки, буд. 4, Немирів, 51759",+380 (25) 277-73-59,kpelekh@example.com
Вітер Марʼяна Єлисеївна,Жіноча,1967-06-25,Менеджер,місто Ірміно,"парк Авіаційна, буд. 321 кв. 0, Стебник, 07348",+380 36 590 41 54,parmen42@example.net
Гаврилюк Оксана Степанівна,Жіноча,1982-05-04,Аналітик,хутір Підгородне,"вулиця Нафтовиків 2-й, буд. 031 кв. 4, Городок, 59202",029 514-54-71,milenadanchenko@example.org
Хорішко Анастасія Романівна,Жіноча,2007-10-10,Програміст,село Калинівка ,"площа Сирітський, буд. 678, Ірпінь, 47633",018 212 87 26,sviatoslava15@example.net
Іщенко Василина Теодорівна,Жіноча,1957-07-28,Аналітик,місто Таврійськ,"узвіз Економічний, буд. 93 кв. 5, Немирів, 60099",708 21 39,avreliizhuk@example.net
Бабич Любов Дмитріївна,Жіноча,1965-11-08,Директор,село Трускавець,"проспект Комітетська, буд. 81, Городенка, 99447",+380 90 561-61-37,savenkoboryslav@example.com
Мазепа Едуард Азарович,Чоловіча,1973-01-29,Програміст,селище Саки ,"сквер 3-тя Лінія Марії Демченко, буд. 586 кв. 57, Ананьїв, 04967",072 435 43 77,daryna81@example.org
Дашкевич Юстина Леонідівна,Жіноча,1997-05-29,Аналітик,хутір Ясинувата,"узвіз Олександра Стурдзи, буд. 236, Петрово-Красносілля, 40641",066 835 52 67,martadanyliuk@example.com
Масоха Симон Адамович,Чоловіча,1974-01-26,Директор,місто Кам'янське,"сквер Економічний, буд. 08 кв. 8, Перещепине, 13771",063 203 70 38,sviatoslavatsymbaliuk@example.org
Дашенко Олександр Олегович,Чоловіча,1956-06-08,Аналітик,село Перещепине,"парк Лінія 37-ма, буд. 9 кв. 618, Долина , 55268",+380 98 865 59 81,teodorsyrotenko@example.org
Калениченко Камілла Опанасівна,Жіноча,1981-09-19,Аналітик,селище Бучач,"набережна Зелена, буд. 0, Чуднів, 05002",+380 14 809-44-63,dankopanteleimon@example.org
Нестайко Венедикт Костянтинович,Чоловіча,1952-02-09,Програміст,місто Ржищів,"набережна Тролейбусна, буд. 6 кв. 585, Ужгород, 61052",394 20 40,ostapchukliliia@example.net
Базилевський Прохір Венедиктович,Чоловіча,1989-11-04,Директор,селище Сміла,"вулиця Вузький, буд. 59 кв. 685, Славутич, 39713",+380 69 870-93-67,frantsshcherban@example.net
Масоха Аліна Романівна,Жіноча,1985-03-18,Менеджер,хутір Зугрес,"сквер Герцена, буд. 3, Чигирин, 36721",033 492-18-35,venedykt08@example.org
Цимбалюк Орина Мирославівна,Жіноча,1964-01-20,Аналітик,селище Донецьк,"набережна Курортний 6-й, буд. 957, Хотин, 03015",303-97-79,myronvovk@example.org
Мазур Ірена Сергіївна,Жіноча,1965-10-19,Менеджер,селище Чернігів,"площа Роздольна, буд. 5, Корсунь-Шевченківський, 09047",+380 06 443 44 37,havrylorak@example.org
Заєць Данило Віталійович,Чоловіча,1964-06-10,Директор,селище Ровеньки,"парк Жоліо-Кюрі, буд. 2 кв. 140, Зоринськ, 61443",+380 60 786 29 04,oleh56@example.net
Гоголь-Яновський Леон Веніяминович,Чоловіча,2006-10-30,Аналітик,хутір Нетішин,"площа Новий, буд. 43 кв. 283, Таврійськ, 60181",+380 27 536 39 33,uromanchuk@example.com
Носенко Пармен Аврелійович,Чоловіча,2000-11-23,Програміст,місто Моспине,"набережна Перепечка, буд. 37, Рівне, 40153",+380 70 803-73-02,trokhymshamrai@example.com
Сірченко Марина Богуславівна,Жіноча,1967-08-22,Менеджер,хутір Помічна,"набережна Леваневського тупик, буд. 3 кв. 3, Турка, 10163",095 345 23 06,boryslavdrobiazko@example.com
Іваничук Дарина Марківна,Жіноча,2005-01-22,Програміст,місто Берестечко,"сквер Канатний, буд. 6, Золочів, 16188",+380 69 881-28-47,mbaida@example.net
Авраменко Ростислав Андрійович,Чоловіча,1966-10-21,Менеджер,селище Жмеринка,"вулиця Аркадійська, буд. 69 кв. 049, Бар, 24249",007 854 88 13,jivanychuk@example.net
Дубенко Оксана Прохорівна,Жіноча,1954-03-31,Директор,село Новомосковськ,"сквер Обільна, буд. 4 кв. 2, Жидачів, 37581",+380 86 621 71 05,okseniiaskoryk@example.org
Бабійчук Оксенія Федорівна,Жіноча,1973-06-24,Аналітик,селище Голубівка,"узвіз Рєпіна, буд. 02 кв. 3, Ржищів, 69470",+380 (94) 141-11-11,rfesenko@example.com
Гайворонський Богдан Тимофійович,Чоловіча,1950-01-16,Програміст,хутір Кобеляки,"набережна Яхненка Семена, буд. 30 кв. 8, Турка, 98004",740 56 97,chuikoerika@example.com
Бабко Альбіна Вʼячеславівна,Жіноча,1983-06-30,Аналітик,місто Амвросіївка,"провулок Уральська, буд. 30 кв. 2, Географія Вільнянська, 75976",058 282-49-57,dmytro88@example.com
Зайченко Клавдія Лесівна,Жіноча,1946-12-14,Директор,село Сміла,"набережна Марата, буд. 2, Зимогір'я, 21651",+380 (06) 960-27-13,antonverhun@example.net
Овсієнко Ярослава Єлисеївна,Жіноча,1987-03-17,Аналітик,селище Свалява,"площа Південно-Санаторний, буд. 6, Червоносів, 37948",+380 03 010 41 66,smykoles@example.net
Захарченко Валентина Веніяминівна,Жіноча,1960-05-08,Менеджер,місто Баранівка,"парк Картамишевський, буд. 9, Долинська, 93948",+380 (41) 660-50-80,pustovitaaron@example.net
Удовенко Вадим Георгійович,Чоловіча,1943-10-31,Аналітик,село Біла Церква,"провулок Нескучна, буд. 74 кв. 4, Старобільськ, 92076",+380 10 742 50 12,iefrem14@example.org
Чередник Лариса Францівна,Жіноча,1980-06-29,Аналітик,хутір Макіївка,"узвіз М’ясоєдовська, буд. 75 кв. 794, Андрушівка, 64721",147 40 51,zynovii00@example.org
Василевич Марʼяна Ростиславівна,Жіноча,1964-05-09,Аналітик,хутір Нова Одеса,"узвіз Соляний 2-й, буд. 3 кв. 13, Тлумач, 99918",425 55 68,leontii20@example.org
Єременко Леонтій Альбертович,Чоловіча,1969-11-09,Менеджер,місто Білгород-Дністровський,"набережна Магнітогорський 2-й, буд. 8 кв. 7, Підгайці, 70738",+380 16 712-73-02,jzasiadko@example.net
Оніщук Давид Геннадійович,Чоловіча,1994-10-07,Аналітик,селище Рубіжне,"провулок Мінська, буд. 358 кв. 94, Хрестівка, 16584",+380 38 453-01-90,levkozinchenko@example.net
Макаренко Трохим Устимович,Чоловіча,1989-07-16,Директор,селище Полтава,"проспект Лінія 24-та, буд. 251, Шостка, 86728",+380 62 617-27-78,sofiiadurdynets@example.org
Гуцуляк Онисим Аркадійович,Чоловіча,1945-10-20,Програміст,селище Соледар,"шосе Гагарінське плато, буд. 30, Чернігів, 58736",+380 80 698 82 66,albert58@example.net
Демʼяненко Леонтій Костянтинович,Чоловіча,2004-01-01,Аналітик,селище Мостиська,"вулиця Озерна, буд. 905, Славута, 68860",+380 02 712 23 99,gmatiash@example.net
Дробʼязко Левко Ігнатович,Чоловіча,1973-07-27,Програміст,хутір Павлоград,"шосе Бузковий 1-й, буд. 38, Скадовськ, 16120",781-24-69,iefremradchenko@example.org
Свистун Анжела Феофанівна,Жіноча,1997-07-15,Аналітик,хутір Костопіль,"проспект Фруктовий, буд. 6 кв. 017, Буринь, 54799",010 887-10-54,huziiavhustyn@example.com
Бабій Камілла Яремівна,Жіноча,1951-10-31,Менеджер,хутір Овруч,"площа Володимира Вінниченка, буд. 68, Березань , 81619",033 742 36 03,skorykpylyp@example.org
Абраменко Ярема Олегович,Чоловіча,1967-10-26,Аналітик,селище Старий Самбір,"парк Заводська 1-ша, буд. 716 кв. 66, Волноваха, 82258",+380 54 264-97-05,mariianalyvaiko@example.org
Байдак Азар Андрійович,Чоловіча,1956-11-30,Аналітик,селище Керч,"узвіз Долинська, буд. 8, Сколе, 81072",062 013 03 92,feofan11@example.com
Ємець Оксана Віталіївна,Жіноча,1972-06-06,Менеджер,хутір Яремче,"парк Карантинна, буд. 278, Сорокине, 45709",+380 09 823-09-68,svanchenko@example.com
Дараган Орися Демʼянівна,Жіноча,1995-08-30,Програміст,місто Покров,"парк Радісна, буд. 43, Єнакієве, 40138",079 508 13 29,dshtepa@example.net
Байрак Борислав Теодорович,Чоловіча,1951-01-24,Менеджер,місто Павлоград,"сквер Восьмого Березня Лінія 5-та, буд. 08, Сокиряни, 53969",+380 (23) 907-16-71,shelestsviatoslav@example.net
Забашта Едуард Іванович,Чоловіча,1958-07-07,Директор,місто Дубляни,"провулок Проїзний 3-й, буд. 69, Коростень, 87955",+380 (47) 046-90-22,prokhir84@example.net
Матяш Пармен Юстимович,Чоловіча,1981-07-24,Програміст,хутір Сокаль,"шосе Рожева, буд. 1, Ананьїв, 41747",+380 05 198-86-85,teodorteslenko@example.net
Кармалюк Алла Симонівна,Жіноча,1995-04-25,Програміст,місто Красноград,"площа Гладкова, буд. 4 кв. 14, Новодружеськ, 90338",026 525-60-75,eartiukh@example.com
Овсієнко Сергій Микитович,Чоловіча,1949-03-24,Директор,місто Суми,"шосе Дем’янова, буд. 6 кв. 379, Берислав, 77676",479 91 50,iaremarudyk@example.com
Абрагамовський Олег Єлисейович,Чоловіча,1969-05-06,Менеджер,селище Перемишляни,"провулок Данила Крижанівського, буд. 70 кв. 9, Бучач, 95798",067 923 35 74,mariana42@example.net
Влох Віолетта Михайлівна,Жіноча,1960-03-29,Аналітик,селище Білицьке,"площа Морська, буд. 8, Макіївка, 80403",027 096-02-11,kashchenkooleksandr@example.com
Балабан Маруся Аркадіївна,Жіноча,1988-09-09,Директор,селище Дрогобич,"провулок Басейний 3-й, буд. 0, Решетилівка, 95927",014 015 91 01,iarynaderkach@example.org
Власенко Аніта Йосипівна,Жіноча,2006-09-27,Програміст,місто Тернопіль,"узвіз Зелений, буд. 3, Гадяч, 34718",056 457 78 75,jredko@example.net
Пушкар Богданна Охрімівна,Жіноча,1986-09-25,Аналітик,хутір Кремінна,"сквер 4-та Суворовська, буд. 2, Коростишів, 17036",208 04 12,drobakhaborys@example.org
Павличенко Михайлина Спасівна,Жіноча,1946-08-12,Менеджер,місто Донецьк,"провулок Космонавтів, буд. 43, Макіївка, 31749",+380 76 432-52-72,danna00@example.com
Ґоляш Ліза Данівна,Жіноча,2003-05-29,Директор,місто Карлівка,"шосе Вертелецького, буд. 71, Нова Одеса, 60989",080 992 73 03,leopoldandriishyn@example.org
Оробець Леон Веніяминович,Чоловіча,2004-01-21,Програміст,місто Херсон,"сквер Лінія 47-ма, буд. 1, Долинська, 51706",147 64 65,jdubenko@example.org
Скоробогатько Богуслав Августинович,Чоловіча,1977-10-24,Аналітик,селище Берислав,"набережна Горбатий міст, буд. 2 кв. 43, Харцизьк, 57941",529 61 91,iaremchukiaroslav@example.net
Чумаченко Святослава Миколаївна,Жіноча,1943-10-28,Директор,селище Карлівка,"площа Скляна, буд. 1 кв. 1, Бібрка, 07907",+380 60 712-75-17,erikaturkalo@example.org
Павличенко Руслан Варфоломійович,Чоловіча,1949-08-03,Програміст,село Монастириська,"шосе Лінія 40-ва, буд. 761, Авдіївка, 90677",232-63-53,fedir91@example.net
Цісик Ілля Кирилович,Чоловіча,1976-12-29,Менеджер,місто Корюківка,"проспект Штабний, буд. 16 кв. 224, Кам'янське, 05692",+380 32 365-41-11,aaronbashtan@example.com
Негода Любов Геннадіївна,Жіноча,1995-11-05,Директор,село Перевальськ,"площа Лузанівський, буд. 05 кв. 40, Винники, 79612",+380 32 885 89 59,hanna30@example.org
Безбородько Богданна Іллівна,Жіноча,2000-03-18,Менеджер,місто Сколе,"вулиця Гранатна, буд. 7, Куп'янськ, 98034",849 37 02,vzubko@example.org
Артюшенко Михайлина Єфремівна,Жіноча,1963-12-12,Програміст,селище Шаргород,"набережна Хаджибейська дорога, буд. 486, Луганськ, 32002",+380 24 381-18-12,tsiutsiurasofiia@example.net
Ємельяненко Альбіна Глібівна,Жіноча,1984-07-07,Директор,хутір Молочанськ,"набережна Анни Ахматової, буд. 0 кв. 93, Бершадь, 69269",+380 48 540-46-22,shvachkoalbert@example.net
Гресь Панас Михайлович,Чоловіча,1943-08-30,Директор,селище Хмільник,"набережна Паустовського, буд. 3 кв. 624, Гадяч, 39860",900-93-26,barannykheorhii@example.com
Дараган Олекса Давидович,Чоловіча,1996-12-25,Директор,хутір Білогірськ,"площа Героїв прикордонників, буд. 387 кв. 45, Василівка , 11709",089 088-99-08,emiliia88@example.com
Скопенко Йосип Євгенійович,Чоловіча,1991-12-05,Аналітик,селище Калуш,"площа Гаванна, буд. 917 кв. 319, Вугледар, 71494",+380 52 014-06-39,marusia84@example.net
Данченко Михайлина Остапівна,Жіноча,1947-05-12,Програміст,хутір Судак ,"набережна Центральний аеропорт, буд. 635, Кобеляки, 65998",+380 98 278-52-06,panasshvachko@example.com
Дашенко Амвросій Опанасович,Чоловіча,1946-06-20,Директор,селище Болехів,"проспект Чорноморський 1-й, буд. 9 кв. 852, Васильків, 90412",917-28-58,chervonenkofrants@example.org
Мамчур Олена Романівна,Жіноча,1992-08-16,Директор,хутір Сокиряни,"провулок Цебриківська, буд. 0, Монастирище, 70592",074 645-60-32,deinekaokhrim@example.org
Єсипенко Вадим Демʼянович,Чоловіча,1966-04-22,Директор,селище Сновськ,"сквер Лермонтовський, буд. 70, Вуглегірськ, 49533",099-86-86,solomiiabazylevska@example.net
Колесниченко Нестор Ростиславович,Чоловіча,1989-05-04,Менеджер,селище Івано-Франківськ,"парк Горбатий міст, буд. 460 кв. 587, Заліщики, 63752",999-58-57,fdutka@example.com
Каденюк Ярема Станіславович,Чоловіча,1971-03-10,Менеджер,хутір Южне,"шосе Тираспольське, буд. 307, Городня, 14263",050 108-89-69,tsirko@example.net
Дахно Роксолана Павлівна,Жіноча,1962-02-06,Аналітик,хутір Звенигородка,"проспект Іподромний, буд. 605 кв. 75, Гуляйполе, 40437",+380 73 166 05 50,zkorolenko@example.com
Семенченко Анжела Богданівна,Жіноча,1957-01-29,Директор,хутір Золочів,"провулок Ляпунова, буд. 95, Ялта, 48655",043 314 58 83,imishchenko@example.org
Чарниш Веніямин Симонович,Чоловіча,1939-01-31,Директор,селище Заставна,"узвіз Вапняне селище, буд. 418 кв. 58, Хуст, 33169",063 339 49 39,arkadiilahoda@example.net
Василевич Мирослав Романович,Чоловіча,1993-07-04,Директор,хутір Угнів,"сквер Удільний, буд. 8, Радомишль, 28607",+380 10 545 86 89,oshtepa@example.com
Заїка Ярослава Макарівна,Жіноча,1994-09-03,Менеджер,місто Дунаївці,"провулок Яблунева, буд. 848, Ржищів, 88559",350 49 60,dutkapanas@example.com
Павленко Ольга Ростиславівна,Жіноча,1960-05-14,Програміст,село Тлумач,"провулок Чапаєва 2-й, буд. 629, Чуднів, 32244",+380 63 737 35 74,leopold65@example.com
Москаль Олександр Остапович,Чоловіча,1958-11-17,Директор,хутір Теплодар,"набережна Луценка Івана, буд. 7, Южне, 46614",+380 28 591-30-38,iakivzaruba@example.net
Наливайко Спас Венедиктович,Чоловіча,2006-04-08,Менеджер,село Тернівка ,"шосе Місячна, буд. 9 кв. 8, Гайсин, 16974",886 15 19,sviatoslav21@example.org
Яремків Одарка Сергіївна,Жіноча,1975-11-04,Менеджер,місто Богуслав,"шосе Вільгельма Габсбурга, буд. 4 кв. 967, Липовець, 79968",093 653-12-48,fazhazha@example.org
Гаєвський Давид Валерійович,Чоловіча,1943-01-09,Директор,село Соледар,"сквер Роздольна, буд. 82 кв. 40, Євпаторія, 85608",+380 (60) 871-45-55,varfolomiilukash@example.net
Ґжицький Геннадій Семенович,Чоловіча,1968-04-09,Директор,селище Ківерці,"набережна Академіка Вавилова, буд. 1 кв. 400, Галич, 97117",317-09-40,kalenychenkovitalii@example.org
Сіробаба Пармен Арсенович,Чоловіча,1955-01-02,Програміст,хутір Добропілля,"сквер Університетський, буд. 4, Прип'ять , 67161",039 280-08-71,kpalii@example.org
Бевз Степан Богодарович,Чоловіча,1943-05-09,Менеджер,хутір Ніжин,"вулиця Сурикова 2-й, буд. 5 кв. 36, Рудки, 38695",563 61 39,fedirvelychko@example.org
Охримович Ростислав Олександрович,Чоловіча,1961-12-19,Аналітик,місто Макіївка,"площа Купріна, буд. 68, Рогатин, 55524",+380 77 803-86-27,korpaniukzlatoslava@example.net
Дейнека Маруся Вадимівна,Жіноча,1997-11-28,Директор,хутір Городня,"шосе Курортний 6-й, буд. 4 кв. 4, Ананьїв, 04525",043 643-16-18,roman00@example.org
Гриценко Дарина Феофанівна,Жіноча,1978-03-29,Програміст,селище Герца,"набережна Тепличний 1-й, буд. 32, Носівка, 51039",080 129-99-91,aliashko@example.org
Аврамчук Опанас Євгенійович,Чоловіча,1976-11-28,Менеджер,місто Тараща,"проспект Аеропортівський 2-й, буд. 7, Ровеньки, 44759",+380 86 792 73 72,darynadarahan@example.net
